month_end,bart_sf_financial_district_origin_trips_monthly
2018-02-28,6068062.0
2018-03-31,3420018.0
2018-04-30,6591228.0
2018-05-31,6907754.0
2018-06-30,6860930.0
2018-07-31,6783220.0
2018-08-31,7049978.0
2018-09-30,6346264.0
2018-10-31,7212570.0
2018-11-30,6027182.0
2018-12-31,5820292.0
2019-01-31,6429156.0
2019-02-28,5980938.0
2019-03-31,6613514.0
2019-04-30,6821610.0
2019-05-31,6786822.0
2019-06-30,6588078.0
2019-07-31,6723778.0
2019-08-31,6862918.0
2019-09-30,6412756.0
2019-10-31,6994464.0
2019-11-30,5958086.0
2019-12-31,5799390.0
2020-01-31,6263222.0
2020-02-29,5897660.0
2020-03-31,2521298.0
2020-04-30,302198.0
2020-05-31,349868.0
2020-06-30,528450.0
2020-07-31,612712.0
2020-08-31,600164.0
2020-09-30,639020.0
2020-10-31,741980.0
2020-11-30,664754.0
2020-12-31,606408.0
2021-01-31,551810.0
2021-02-28,591482.0
2021-03-31,741106.0
2021-04-30,781168.0
2021-05-31,886274.0
2021-06-30,1106368.0
2021-07-31,1275488.0
2021-08-31,1360026.0
2021-09-30,1488010.0
2021-10-31,1591200.0
2021-11-30,1574646.0
2021-12-31,1540702.0
2022-01-31,1199426.0
2022-02-28,1384332.0
2022-03-31,1906238.0
2022-04-30,1969114.0
2022-05-31,2044170.0
2022-06-30,2287176.0
2022-07-31,2029408.0
2022-08-31,2275996.0
2022-09-30,2364646.0
2022-10-31,2370620.0
2022-11-30,2138490.0
2022-12-31,1994472.0
2023-01-31,1964828.0
2023-02-28,2060772.0
2023-03-31,2395080.0
2023-04-30,2293992.0
2023-05-31,2445796.0
2023-06-30,2508784.0
2023-07-31,2339056.0
2023-08-31,2656620.0
2023-09-30,2420480.0
2023-10-31,2577980.0
2023-11-30,2293960.0
2023-12-31,2148626.0
2024-01-31,2288100.0
2024-02-29,2298274.0
2024-03-31,2413508.0
2024-04-30,2445710.0
2024-05-31,2575238.0
2024-06-30,2442166.0
2024-07-31,2470628.0
2024-08-31,2563114.0
2024-09-30,2571398.0
2024-10-31,
2024-11-30,2209142.0
2024-12-31,2227156.0
2025-01-31,2437508.0
2025-02-28,2334244.0
2025-03-31,2612596.0
2025-04-30,2775578.0
2025-05-31,2743914.0
2025-06-30,2799414.0
2025-07-31,2854576.0
2025-08-31,2888194.0
2025-09-30,2904406.0
2025-10-31,3103576.0
2025-11-30,2529200.0
2025-12-31,2568418.0
2026-01-31,2715182.0
2026-02-28,2682472.0
2026-03-31,3196556.0
2026-04-30,3096360.0
